T	AX	AY	AZ	HX	HY	HZ	MX	MY	MZ	Temp	Move
75.95391	-2.6144683	5.032612	-8.48984	0.20373182	-0.1555286	-0.8604674	-181.8	55.800003	-274.2	26.127745	none
75.95609	-2.5234885	4.9296613	-8.475474	0.21944448	-0.16777915	-0.90174633	-181.8	55.800003	-274.2	26.178661	none
75.95828	-2.3678656	4.8482585	-8.6334915	0.24021713	-0.1933455	-0.97232014	-181.8	55.800003	-274.2	26.187649	none
75.960464	-2.315193	4.7548847	-8.722076	0.25379926	-0.21891184	-1.0173275	-181.8	55.800003	-274.2	26.163687	none
75.96265	-2.2361844	4.7141833	-8.750807	0.2657835	-0.24394555	-1.0583402	-181.8	55.800003	-274.2	26.169678	none
75.96482	-2.207454	4.6902413	-8.825027	0.27883297	-0.27137613	-1.1009508	-181.20001	46.800003	-277.2	26.190643	none
75.967	-2.0925324	4.6806645	-8.872911	0.29188246	-0.29987195	-1.1422298	-181.20001	46.800003	-277.2	26.190643	none
75.96919	-2.018312	4.721366	-8.827422	0.30626354	-0.3355583	-1.176052	-181.20001	46.800003	-277.2	26.166681	none
75.971375	-1.8171991	4.7141833	-8.8777	0.31931302	-0.39468047	-1.2341089	-181.20001	46.800003	-277.2	26.190643	none
75.97356	-1.6927006	4.6806645	-8.916007	0.33182988	-0.43542686	-1.2665994	-181.20001	55.2	-279.6	26.226585	none
75.97573	-1.5466543	4.6136265	-8.901642	0.3422162	-0.47244477	-1.3001553	-181.20001	55.2	-279.6	26.196632	none
75.97792	-1.4077905	4.5633483	-8.90643	0.3539341	-0.51665324	-1.3246564	-181.20001	55.2	-279.6	26.157696	none
75.9801	-1.2545617	4.477157	-8.892065	0.35792887	-0.5587312	-1.3483585	-181.20001	55.2	-279.6	26.172672	none
75.982285	-1.0175357	4.3598413	-8.899248	0.37630466	-0.6130597	-1.3749901	-181.20001	55.2	-279.6	26.154701	none
75.98447	-0.8571242	4.24492	-8.901642	0.3832289	-0.6372945	-1.390969	-164.40001	38.4	-297.6	26.14272	none
75.98666	-0.7757214	4.237737	-8.937555	0.3853594	-0.65034395	-1.3946975	-164.40001	38.4	-297.6	26.190643	none
75.98882	-0.6631939	4.1156325	-8.913613	0.391751	-0.65034395	-1.3962954	-164.40001	38.4	-297.6	26.20562	none
75.99101	-0.5770026	4.06296	-8.89446	0.39787626	-0.6460829	-1.3941648	-164.40001	38.4	-297.6	26.199629	none
75.993195	-0.4141969	4.0438066	-8.944737	0.40293628	-0.6399576	-1.3763217	-164.40001	38.4	-297.6	26.214603	none
75.99538	-0.3184288	4.0198646	-9.028535	0.4002731	-0.63915867	-1.3603427	-180.0	55.2	-278.40002	26.181658	none
75.99757	-0.08619126	4.015076	-8.959103	0.40053943	-0.6463492	-1.3382385	-180.0	55.2	-278.40002	26.124748	none
75.99974	6.0262055	4.673482	-8.801085	0.39787626	-0.64555025	-1.3028184	-180.0	55.2	-278.40002	26.190643	none
76.00192	-19.6133	5.5282116	-8.336611	0.3920173	-0.5470133	-1.164334	-180.0	55.2	-278.40002	26.172672	none
76.004105	-19.6133	6.5840545	-7.0964136	0.40533313	0.4860269	-0.4908206	-181.20001	64.8	-273.6	26.202623	none
76.00629	15.059528	5.7604494	-11.482592	0.41891524	1.4860439	0.13821806	-181.20001	64.8	-273.6	26.193638	none
76.00848	8.468291	4.4077253	-14.78659	0.4314321	1.7960359	0.6375608	-181.20001	64.8	-273.6	26.109774	none
76.01065	7.2089415	2.7581203	-14.738706	0.44794372	1.7060211	1.0373013	-181.20001	64.8	-273.6	26.13673	none
76.01283	4.8602295	1.2737153	-12.813767	0.44501424	1.830657	1.423726	-181.20001	64.8	-273.6	26.247551	none
76.015015	1.067814	0.770933	-10.443508	0.3669836	2.4037693	1.9315908	-174.0	57.600002	-280.80002	26.187649	none
76.0172	-0.5530606	1.2282255	-9.320627	0.27377295	2.5363946	2.181928	-174.0	57.600002	-280.80002	26.169678	none
76.01939	-1.2761095	1.769315	-8.590396	0.15020229	2.356365	2.345446	-174.0	57.600002	-280.80002	26.151707	none
76.02156	-1.8579005	2.2026656	-8.178593	0.014913702	1.9504992	2.4562335	-174.0	57.600002	-280.80002	26.211609	none
76.02374	-2.0901382	2.4492683	-7.699753	-0.11611383	1.4301175	2.5182853	-169.20001	38.4	-296.40002	26.13673	none
76.025925	-1.9321208	2.6120741	-7.1155677	-0.23835292	0.94542223	2.5489116	-169.20001	38.4	-296.40002	26.220594	none
76.028114	-1.472434	2.942474	-6.1866174	-0.40746364	0.5520733	2.5755432	-169.20001	38.4	-296.40002	26.181658	none
76.03029	-1.2042835	3.205836	-5.7149596	-0.5089301	0.5611281	2.58806	-169.20001	38.4	-296.40002	26.139725	none
76.03247	-0.91937345	3.6128504	-5.233725	-0.6066681	0.7440872	2.5992453	-169.20001	38.4	-296.40002	26.13673	none
76.03465	-0.8595184	4.012682	-5.1475334	-0.7041398	1.047954	2.6019084	-183.0	48.600002	-282.6	26.106777	none
76.03684	-0.9744401	4.2066126	-5.3247046	-0.7952199	1.3952302	2.597381	-183.0	48.600002	-282.6	26.16069	none
76.039024	-1.3455414	4.477157	-6.1100025	-0.92731273	1.8855181	2.576342	-183.0	48.600002	-282.6	26.178661	none
76.0412	-1.4939818	4.6136265	-6.576872	-1.005077	2.1401162	2.5438516	-183.0	48.600002	-282.6	26.184652	none
76.04338	-1.7381904	4.656722	-7.050924	-1.0831076	2.3542345	2.5081651	-181.20001	43.2	-280.80002	26.145716	none
76.04557	-1.7884687	4.7979803	-7.381324	-1.149953	2.5209484	2.4586303	-181.20001	43.2	-280.80002	26.2176	none
76.04775	-1.6543933	4.8937483	-7.711724	-1.211472	2.6421223	2.4053671	-181.20001	43.2	-280.80002	26.232574	none
76.049934	-1.4891934	4.9943047	-8.159439	-1.2804478	2.7550402	2.325206	-181.20001	43.2	-280.80002	26.14871	none
76.05211	-1.4269443	5.085284	-8.475474	-1.3105416	2.7816718	2.2714102	-181.20001	43.2	-280.80002	26.139725	none
76.05429	-1.1372458	5.0996494	-8.5473	-1.3347764	2.781938	2.219745	-184.20001	34.2	-280.2	26.154701	none
76.05648	-1.1300632	5.12838	-8.652645	-1.3571469	2.8146951	2.1771343	-184.20001	34.2	-280.2	26.169678	none
76.05866	-1.1085154	5.3438582	-8.872911	-1.3744575	2.8746161	2.1334584	-184.20001	34.2	-280.2	26.193638	none
76.060844	-0.8619126	5.604826	-9.01417	-1.3899038	2.936934	2.0628846	-184.20001	34.2	-280.2	26.166681	none
76.06302	-0.82360536	5.5641246	-9.232041	-1.3912354	2.9648974	2.013616	-184.20001	34.2	-280.2	26.154701	none
76.0652	-0.89303726	5.631162	-9.167398	-1.3859091	3.00085	1.9616845	-184.20001	34.2	-280.2	26.190643	none
76.06739	-0.8882488	5.628768	-9.057265	-1.382447	3.0618365	1.9108181	-184.20001	34.2	-280.2	26.16069	none
76.06957	-0.830788	5.5641246	-9.136273	-1.3776532	3.1510522	1.8591528	-184.20001	34.2	-280.2	26.157696	none
76.071754	-0.9552865	5.547365	-8.987833	-1.3619406	3.2850094	1.7816548	-184.20001	34.2	-280.2	26.169678	none
76.07393	-0.9840169	5.6096144	-8.959103	-1.3520869	3.3545177	1.722799	-184.20001	34.2	-280.2	26.11876	none
76.07611	-0.91937345	5.7029886	-8.911219	-1.3422332	3.4200315	1.6652746	-184.20001	34.2	-280.2	26.151707	none
76.0783	-0.94331545	5.734113	-8.92319	-1.330249	3.4543862	1.6066852	-184.20001	34.2	-280.2	26.139725	none
76.08048	-0.8882488	5.8562174	-8.746018	-1.3158679	3.47942	1.5515577	-184.20001	34.2	-280.2	26.175667	none
76.082664	-0.90740246	5.8945246	-8.832211	-1.303351	3.5100465	1.4892397	-184.20001	34.2	-280.2	26.139725	none
76.084854	-1.1611878	5.9567738	-8.789114	-1.2924321	3.5137749	1.4037522	-192.6	16.2	-280.2	26.14272	none
76.08703	-1.1133038	5.973533	-8.815451	-1.2879047	3.4935348	1.3475596	-192.6	16.2	-280.2	26.154701	none
76.08921	-1.1851299	6.0262055	-8.858546	-1.27885	3.452522	1.28897	-192.6	16.2	-280.2	26.172672	none
76.09139	-1.3239936	6.1243677	-8.908825	-1.2743226	3.4048514	1.2293152	-192.6	16.2	-280.2	26.139725	none
76.09358	-1.1803415	6.1123967	-8.870518	-1.2759205	3.3063145	1.1659319	-190.20001	10.200001	-281.40002	26.157696	none
76.095764	-1.103727	5.98311	-8.573636	-1.2825783	3.1015174	1.0753845	-190.20001	10.200001	-281.40002	26.166681	none
76.09794	-1.0582372	5.9400144	-8.3821	-1.2958943	2.947853	1.0141318	-190.20001	10.200001	-281.40002	26.196632	none
76.10012	-0.830788	5.8945246	-8.240842	-1.3206617	2.7814054	0.96113485	-190.20001	10.200001	-281.40002	26.187649	none
76.1023	-0.7422025	5.9400144	-7.955932	-1.3448963	2.619219	0.908138	-190.20001	10.200001	-281.40002	26.166681	none
76.104485	-0.5482722	6.1411276	-7.716512	-1.3787185	2.459163	0.8586032	-191.40001	-0.6	-276.6	26.14871	none
76.106674	-0.3184288	6.2704144	-7.410054	-1.4436996	2.253567	0.7864315	-191.40001	-0.6	-276.6	26.193638	none
76.10885	-0.15322891	6.4044895	-7.639898	-1.4889734	2.1369205	0.7368967	-191.40001	-0.6	-276.6	26.199629	none
76.11103	0.021547815	6.409278	-7.8912888	-1.5361114	2.0141487	0.6924219	-191.40001	-0.6	-276.6	26.193638	none
76.11321	0.10295067	6.3829417	-8.212111	-1.5840483	1.8791265	0.6527408	-200.40001	-3.6000001	-271.2	26.151707	none
76.1154	-0.019153614	6.483498	-8.599973	-1.630121	1.7249295	0.60933125	-200.40001	-3.6000001	-271.2	26.20562	none
76.117584	-0.8379706	6.0980315	-11.832145	-1.6897757	1.3339775	0.536627	-200.40001	-3.6000001	-271.2	26.133736	none
76.11976	-0.842759	6.3925185	-13.546393	-1.685781	0.78723043	0.48629323	-200.40001	-3.6000001	-271.2	26.202623	none
76.12194	-0.32561144	7.4004774	-14.499286	-1.6482304	0.17763285	0.43888897	-200.40001	-3.6000001	-271.2	26.202623	none
76.12413	-1.079785	8.65025	-14.346057	-1.5811188	-0.2612561	0.4111921	-196.20001	-5.4	-277.80002	26.151707	none
76.12631	-2.2385786	9.758766	-14.053964	-1.5006913	-0.5656554	0.38589206	-196.20001	-5.4	-277.80002	26.169678	none
76.128494	-2.147599	10.132261	-12.607866	-1.3845775	-1.1262509	0.32277513	-196.20001	-5.4	-277.80002	26.23557	none
76.13067	-0.533907	9.677363	-10.488997	-1.3265206	-1.5733956	0.27190876	-196.20001	-5.4	-277.80002	26.202623	none
76.13286	0.34955344	8.913613	-9.368511	-1.2828447	-1.8738002	0.23915187	-201.00002	-11.400001	-267.0	26.193638	none
76.13504	0.01436521	8.401254	-9.636662	-1.2468921	-1.9835224	0.21278657	-201.00002	-11.400001	-267.0	26.181658	none
76.13722	-0.62488663	7.929596	-10.292673	-1.2000204	-1.9904467	0.17789917	-201.00002	-11.400001	-267.0	26.169678	none
